0,Emotion,Confidence,Room,Device
4/1/2025 12:09:55,Fear,40.74,Entrance,
4/1/2025 12:12:27,Neutral,0,Entrance,
4/1/2025 12:12:27,Neutral,0,Entrance,
4/1/2025 12:12:38,Fear,40.74,Entrance,
4/1/2025 12:15:40,Neutral,0,Entrance,
4/1/2025 12:15:40,Neutral,0,Entrance,
4/1/2025 12:18:41,Neutral,0,Entrance,
4/1/2025 12:18:41,Neutral,0,Entrance,
4/1/2025 12:26:19,Neutral,0,Entrance,
4/1/2025 12:26:20,Neutral,0,Entrance,
4/1/2025 12:26:39,Neutral,0,Entrance,
4/1/2025 12:26:39,Neutral,0,Entrance,
4/1/2025 12:28:28,Neutral,0,Entrance,
4/1/2025 12:28:28,Neutral,0,Entrance,
4/1/2025 12:31:00,Neutral,0,Entrance,
4/1/2025 12:31:00,Neutral,0,Entrance,
4/1/2025 12:31:30,Neutral,0,Entrance,
4/1/2025 12:31:30,Neutral,0,Entrance,
4/1/2025 12:32:11,Neutral,0,Entrance,
4/1/2025 12:32:12,Neutral,0,Entrance,
4/1/2025 12:32:41,Neutral,0,Entrance,
4/1/2025 12:32:41,Neutral,0,Entrance,
4/1/2025 12:33:25,Neutral,0,Entrance,
4/1/2025 12:33:25,Neutral,0,Entrance,
4/1/2025 12:34:15,Neutral,0,Entrance,
4/1/2025 12:34:15,Neutral,0,Entrance,
4/1/2025 12:36:05,Neutral,0,Entrance,
4/1/2025 12:36:06,Neutral,0,Entrance,
4/1/2025 12:38:17,Fear,40.74,Gallery 3,
4/1/2025 12:42:11,Neutral,0,Entrance,
4/1/2025 12:42:13,Fear,40.74,Entrance,
4/1/2025 12:42:29,Neutral,0,Entrance,
4/1/2025 12:42:29,Fear,40.74,Entrance,
4/1/2025 12:42:29,Neutral,0,Entrance,
4/1/2025 12:46:34,Neutral,0,Entrance,
4/1/2025 12:46:35,Fear,39.79,Entrance,
4/1/2025 12:48:35,Surprise,35.27,Gallery 2,
4/1/2025 12:50:04,Neutral,31.03,Restrooms,
4/1/2025 12:50:35,Happy,37.02,Gallery 1,
4/1/2025 12:50:50,Surprise,30.32,Entrance,
4/1/2025 12:55:04,Neutral,0,Entrance,
4/1/2025 12:55:05,Neutral,0,Entrance,
4/1/2025 12:55:34,Neutral,0,Entrance,
4/1/2025 12:55:35,Neutral,0,Entrance,
4/1/2025 13:00:47,Neutral,0,Gallery 1,
4/1/2025 13:00:48,Neutral,0,Gallery 1,
4/1/2025 13:02:42,Neutral,0,Entrance,
4/1/2025 13:02:42,Neutral,0,Entrance,
4/1/2025 13:03:10,Neutral,0,Entrance,
4/1/2025 13:03:11,Neutral,0,Entrance,
4/1/2025 13:03:29,Neutral,0,Entrance,
4/1/2025 13:03:29,Neutral,0,Entrance,
4/1/2025 13:04:30,Neutral,0,Entrance,
4/1/2025 13:04:30,Neutral,0,Entrance,
4/1/2025 13:04:30,Neutral,0,Entrance,
4/1/2025 13:04:50,Neutral,0,Entrance,
4/1/2025 13:04:52,Fear,32.45,Entrance,
4/1/2025 13:04:52,Neutral,0,Entrance,
4/1/2025 13:05:22,Angry,42.48,Entrance,
4/1/2025 13:05:24,Fear,34.37,Entrance,
4/1/2025 13:11:23,Neutral,0,Entrance,
4/1/2025 13:11:23,Neutral,0,Entrance,
4/1/2025 13:22:10,Fear,32.11,Entrance,
4/1/2025 13:25:40,Neutral,32.45,Entrance,
4/1/2025 13:25:40,Neutral,32.45,Entrance,
4/1/2025 13:30:42,Neutral,0,Entrance,
4/1/2025 13:30:42,Neutral,0,Entrance,
4/1/2025 13:30:44,Fear,32.45,Entrance,
4/1/2025 13:33:47,Neutral,30.45,Gallery 1,
4/1/2025 13:41:15,Neutral,0,Entrance,
4/1/2025 13:41:15,Neutral,0,Entrance,
4/1/2025 13:43:15,Happy,32.32,Entrance,
4/1/2025 13:44:43,Neutral,0,Entrance,
4/1/2025 13:44:44,Neutral,0,Entrance,
4/1/2025 13:44:58,Sad,33.99,Entrance,
4/1/2025 13:47:05,Neutral,0,Entrance,
4/1/2025 13:47:25,Sad,33.69,Entrance,
4/1/2025 13:48:04,Neutral,0,Entrance,
4/1/2025 13:48:04,Neutral,0,Entrance,
4/1/2025 13:48:17,Sad,33.46,33.46,
4/1/2025 13:48:56,Neutral,0,Entrance,
4/1/2025 13:48:56,Neutral,0,Entrance,
4/1/2025 13:49:04,Sad,32.69,Entrance,
4/1/2025 13:51:01,Neutral,0,Entrance,
4/1/2025 13:51:04,Neutral,0,Entrance,
4/1/2025 13:51:08,Sad,32.16,Entrance,
4/1/2025 15:02:27,Neutral,0,Entrance,
4/1/2025 15:02:27,Neutral,0,Entrance,
4/1/2025 15:03:11,Sad,34.35,Entrance,
4/1/2025 15:03:29,Neutral,0,Entrance,
4/1/2025 15:16:26,Neutral,0,Entrance,
4/1/2025 15:16:26,Neutral,0,Entrance,
4/1/2025 15:16:52,Neutral,0,Entrance,
4/1/2025 15:18:21,Sad,30.67,Entrance,
4/1/2025 15:20:16,Happy,30.23,Gallery 1,
4/1/2025 15:24:57,Sad,30.4,Gallery 1,
4/1/2025 15:25:27,Happy,35.46,Gallery 1,
4/1/2025 15:27:21,Sad,31.38,Gallery 2,
4/1/2025 15:28:15,Happy,31.15,Gallery 3,
4/1/2025 15:29:34,Sad,30.08,Gallery 3,
4/1/2025 15:29:45,Happy,31.1,Gallery 3,
4/1/2025 15:29:48,Sad,31.44,Gallery 3,
4/1/2025 15:43:39,Neutral,0,Entrance,
4/1/2025 15:43:39,Neutral,0,Entrance,
4/1/2025 15:47:21,Neutral,0,Entrance,
4/1/2025 15:47:21,Neutral,0,Entrance,
4/1/2025 15:47:34,Neutral,0,Entrance,
4/1/2025 15:47:35,Neutral,0,Entrance,
4/1/2025 16:01:27,Neutral,0,Entrance,
4/1/2025 16:01:28,Neutral,0,Entrance,
4/1/2025 16:02:13,Happy,41.12,Entrance,
4/1/2025 16:04:10,Sad,30.07,Entrance,
4/1/2025 16:10:29,Happy,31.32,Gallery 1,
4/1/2025 16:10:32,Sad,32.47,Gallery 1,
4/1/2025 16:11:14,Happy,32.15,Gallery 1,
4/1/2025 16:12:06,Sad,35.08,Gallery 1,
4/2/2025 10:15:52,Neutral,0,Entrance,
4/2/2025 10:15:52,Neutral,0,Entrance,
4/2/2025 10:16:40,Neutral,0,Entrance,
4/2/2025 11:53:30,Neutral,0,Entrance,
4/2/2025 11:53:30,Neutral,0,Entrance,
4/2/2025 11:54:03,Sad,33.86,Entrance,
4/2/2025 12:02:56,Neutral,30.21,Gallery 2,
4/2/2025 12:05:12,Sad,25.14,Gallery 2,
4/2/2025 12:09:37,Angry,26.3,Gallery 2,
4/2/2025 12:09:51,Neutral,30.97,Gallery 2,
4/2/2025 12:09:53,Sad,27.77,Gallery 2,
4/2/2025 12:10:02,Happy,31.63,Gallery 2,
4/2/2025 12:10:18,Sad,29.92,Gallery 2,
4/2/2025 12:10:56,Neutral,26,Gallery 2,
4/2/2025 12:14:47,Sad,25.09,Gallery 2,
4/2/2025 12:14:52,Neutral,25.51,Gallery 2,
4/4/2025 10:33:47,Neutral,0,Entrance,
4/4/2025 10:33:57,Happy,50.93,Entrance,
4/4/2025 10:34:04,Sad,32.5,Entrance,
4/4/2025 10:34:07,Happy,32.16,Entrance,
4/4/2025 10:34:10,Sad,30.37,Entrance,
4/4/2025 10:34:13,Happy,32.04,Entrance,
4/4/2025 10:34:40,Sad,30.86,Entrance,
4/4/2025 10:34:45,Happy,49.25,Entrance,
4/4/2025 10:35:05,Sad,34.56,Entrance,
4/4/2025 10:36:30,Happy,34.63,Entrance,
4/4/2025 10:52:38,Neutral,0,Entrance,
4/4/2025 10:52:42,Happy,30.31,Entrance,
4/4/2025 10:53:49,Sad,31.62,Entrance,
4/4/2025 10:53:52,Happy,50.2,Entrance,
4/6/2025 9:32:09,Neutral,0,Entrance,
4/6/2025 9:32:11,Happy,43.54,Entrance,
4/6/2025 9:32:28,Sad,30.19,Entrance,
4/6/2025 9:32:34,Happy,53.97,Entrance,
4/6/2025 9:33:16,Neutral,31.86,Gallery 1,
4/6/2025 9:33:31,Happy,40.98,Gallery 1,
4/6/2025 9:34:07,Neutral,30.31,Gallery 1,
4/6/2025 9:34:13,Happy,53.43,Gallery 1,
4/6/2025 9:35:56,Surprise,30.15,Gallery 3,
4/6/2025 9:35:57,Happy,37.52,Gallery 3,
4/6/2025 11:16:48,Neutral,0,Entrance,
4/8/2025 19:09:24,Neutral,0,Entrance,
4/12/2025 18:24:04,Neutral,0,Entrance,
4/12/2025 18:26:53,Neutral,0,Entrance,
4/12/2025 18:27:03,Surprise,48.83,Entrance,
4/12/2025 19:03:59,Neutral,0,Entrance,
4/12/2025 19:04:32,Sad,30.12,Gallery 1,
4/16/2025 16:01:07,Neutral,0,Entrance,
4/16/2025 16:01:11,Sad,31.01,Entrance,
4/16/2025 16:06:38,Neutral,0,Entrance,
4/16/2025 16:06:39,Sad,26.88,Entrance,
4/16/2025 16:07:05,Surprise,29.66,Restrooms,
4/16/2025 16:09:42,Sad,31.36,Restrooms,
4/16/2025 16:09:59,Surprise,39.03,Restrooms,
4/16/2025 16:10:05,Happy,25.15,Restrooms,
4/16/2025 16:10:16,Sad,28.57,Restrooms,
4/16/2025 16:10:18,Surprise,27.16,Restrooms,
4/16/2025 16:21:04,Sad,25.22,Restrooms,
4/16/2025 16:21:14,Surprise,25.06,Restrooms,
4/16/2025 16:24:04,Fear,25.26,Restrooms,
4/16/2025 16:24:17,Surprise,31.18,Restrooms,
4/16/2025 16:27:13,Fear,25.62,Restrooms,
4/16/2025 16:27:39,Surprise,32.33,Gallery 3,
4/16/2025 16:28:17,Sad,27.17,Gallery 3,
4/16/2025 16:28:21,Surprise,29.36,Gallery 3,
4/16/2025 16:37:41,Sad,25.01,Gallery 3,
4/16/2025 16:37:59,Surprise,25.8,Gallery 3,
4/16/2025 16:38:00,Sad,25.14,Gallery 3,
4/16/2025 16:38:34,Fear,32.91,Gallery 3,
4/16/2025 16:39:01,Sad,25.7,Gallery 3,
4/16/2025 16:39:49,Surprise,25.6,Gallery 3,
